companyFullName,companyLabelList,financeStage,companySize,city,salary,secondType,workYear,education,positionName,positionLables,positionAdvantage,maxsalary,minsalary,avesalary,name,belong
实地地产集团有限公司,"['技术大牛', '领导nice', '绩效奖金', '通讯津贴']",不需要融资,500-2000人,北京,15k-30k,交互,3-5年,本科,AR交互设计师,"['可穿戴设备', '智能硬件', '无线交互', '硬件交互', '用户体验']",周末双休，扁平化管理,30k,15k,22.5,硬件交互设计师,交互设计
杭州艾耕科技有限公司,"['股票期权', '扁平管理', '发展前景好', '工程师文化']",A轮,150-500人,杭州,15k-30k,交互,3-5年,本科,交互设计师,"['视频', '直播', '交互', 'UI', '用户体验', '无线交互']",AI技术大牛+工程师文化+扁平化管理,30k,15k,22.5,硬件交互设计师,交互设计
斯智信息科技（上海）有限公司,"['股票期权', '带薪年假', '弹性工作', '领导好']",天使轮,少于15人,上海,10k-15k,交互,3-5年,本科,资深交互设计师,"['移动互联网', '工具软件', '交互', '网页交互', '用户体验', '界面设计']",充满机遇挑战， 成长团队， 创造价值,15k,10k,12.5,无线交互设计师,交互设计
广州库洛科技有限公司,"['年底双薪', '专项奖金', '带薪年假', '定期体检']",B轮,150-500人,广州,13k-20k,交互,1-3年,本科,交互设计师,['交互'],战双项目,20k,13k,16.5,无线交互设计师,交互设计
福州龙腾简合网络技术有限公司,"['五险一金', '午餐补助', '带薪年假', '节日福利']",未融资,500-2000人,福州,7k-11k,交互,1年以下,本科,游戏交互设计师,"['交互', '用户体验']",五险一金、节假日津贴、年度体检,11k,7k,9.0,无线交互设计师,交互设计
网易（杭州）网络有限公司,"['节日礼物', '技能培训', '免费班车', '带薪年假']",上市公司,2000人以上,广州,13k-15k,交互,应届毕业生,本科,交互设计师（UI）-用户体验中心,['游戏'],与一流的开发和用户研究团队合作,15k,13k,14.0,无线交互设计师,交互设计
厦门果动体育科技有限公司,['无特殊要求'],未融资,少于15人,厦门,9k-12k,交互,1-3年,本科,ui交互设计师,"['UI', '用户体验', '界面设计', '动效设计']",环境舒适、公司文化好、福利多、差旅多,12k,9k,10.5,无线交互设计师,交互设计
杭州米络星科技（集团）有限公司,"['年底双薪', '绩效奖金', '专项奖金', '五险一金']",不需要融资,500-2000人,杭州,10k-20k,交互,1-3年,本科,交互设计师 (MJ000272),"['电商', '交互', '用户体验']",五险一金、周末双休,20k,10k,15.0,硬件交互设计师,交互设计
紫元元（深圳）科技有限公司,['无特殊要求'],上市公司,50-150人,深圳,10k-15k,交互,3-5年,本科,ui交互设计师,"['UI', '移动交互', '网页交互']",周末双休、五险一金、餐补、上市公司,15k,10k,12.5,硬件交互设计师,交互设计
上海中软华腾软件系统有限公司,"['绩效奖金', '带薪年假', '定期体检', '管理规范']",上市公司,2000人以上,深圳,17k-25k,交互,3-5年,本科,ux设计师,"['PS', 'AI软件', '交互']",团队技术大牛带你飞,25k,17k,21.0,硬件交互设计师,交互设计
上海微创软件股份有限公司,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",不需要融资,2000人以上,杭州,18k-25k,交互,3-5年,本科,ued设计师,"['电商', '交互', 'UI', '用户体验', 'C端产品']",电商平台，发展空间大,25k,18k,21.5,硬件交互设计师,交互设计
特赞（上海）信息科技有限公司,"['技能培训', '扁平管理', '弹性工作', '全员持股']",C轮,150-500人,上海,25k-35k,交互,5-10年,本科,高级产品设计师,"['企业服务', '交互', '用户体验', 'B端产品', 'UI']",TOP客户 弹性宽松 设计大咖,35k,25k,30.0,硬件交互设计师,交互设计
特赞（上海）信息科技有限公司,"['技能培训', '扁平管理', '弹性工作', '全员持股']",C轮,150-500人,上海,20k-30k,交互,3-5年,本科,产品设计师,"['企业服务', '交互', '用户体验', 'B端产品']",TOP客户 弹性宽松 设计大咖,30k,20k,25.0,硬件交互设计师,交互设计
北京每日优鲜电子商务有限公司,"['六险一金', '股票期权', '快速晋升', '年度体检']",D轮及以上,2000人以上,北京,15k-30k,交互,3-5年,本科,B端设计师（交互+视觉）,"['电商', '新零售', '交互', '网页交互', '用户体验', '移动交互']","团队专业,氛围好,扁平化管理,发展空间大",30k,15k,22.5,无线交互设计师,交互设计
上海河姆渡实业发展有限公司,['无特殊要求'],A轮,500-2000人,上海,15k-20k,交互,3-5年,本科,ue设计师,"['电商', '交互', '用户体验']","绩效奖金,五险一金",20k,15k,17.5,硬件交互设计师,交互设计
深圳市墨默交互科技有限公司,"['年终分红', '五险一金', '年度旅游', '领导好']",不需要融资,50-150人,深圳,14k-17k,交互,3-5年,本科,交互设计师（太平金科）,"['用户体验', 'B端产品', '交互', '界面设计']",专业设计团队、上升空间大,17k,14k,15.5,硬件交互设计师,交互设计
艺考云科技（广州）有限公司,['无特殊要求'],天使轮,15-50人,广州,8k-15k,交互,1-3年,本科,UX交互设计师,"['教育', '交互', 'B端产品', 'C端产品', '用户体验']",专注于艺考生教育的互联网平台,15k,8k,11.5,无线交互设计师,交互设计
北京小米科技有限责任公司,"['快速成长', '免费班车', '扁平管理', '技能培训']",D轮及以上,2000人以上,北京,30k-50k,交互,5-10年,本科,VUI交互设计师,"['交互', '用户体验']",语音助手/人工智能,50k,30k,40.0,无线交互设计师,交互设计
思特沃克软件技术（成都）有限公司,"['技能培训', '节日礼物', '带薪年假', '全球化视野']",不需要融资,2000人以上,北京,15k-25k,交互,3-5年,本科,交互设计师,"['移动交互', '网页交互', '用户体验', '界面设计']","敏捷开发,扁平化,大外企",25k,15k,20.0,硬件交互设计师,交互设计
广州鼎盛互动网络科技有限公司,"['弹性工作', '扁平管理', '带薪年假', '定期体检']",不需要融资,150-500人,广州,20k-40k,交互,5-10年,大专,游戏交互设计师,"['用户体验', 'UI', '设计', '游戏交互']",按能力定岗薪资、福利保障,40k,20k,30.0,无线交互设计师,交互设计
北京合思汇智信息技术有限公司,"['岗位晋升', '股票期权', '扁平管理', '交通补助']",C轮,150-500人,北京,15k-20k,交互,3-5年,本科,UI&amp;交互设计师,"['界面设计', '交互', '用户体验', 'UI']",五险一金，团建，年终奖，带薪年假，双休,20k,15k,17.5,无线交互设计师,交互设计
北京福佑多多信息技术有限公司,"['节日礼物', '年底双薪', '定期体检', '七险一金']",D轮及以上,500-2000人,北京,25k-35k,交互,3-5年,本科,资深交互设计师,"['交互', '移动交互', '网页交互']",福利待遇好、创业黑马、技术氛围好,35k,25k,30.0,无线交互设计师,交互设计
跨越速运集团有限公司,"['节日礼物', '免费班车', '带薪年假', '绩效奖金']",不需要融资,2000人以上,深圳,18k-25k,交互,5-10年,大专,高级UE设计师,"['交互', '用户体验', '移动交互', '网页交互']",工龄奖、月度之星、团建活动、培训、分享会,25k,18k,21.5,硬件交互设计师,交互设计
微梦创科网络科技（中国）有限公司,"['年底双薪', '专项奖金', '股票期权', '五险一金']",上市公司,2000人以上,北京,20k-35k,交互,3-5年,本科,资深交互设计师,"['社交', '移动互联网', '交互', '设计']",公司大 环境好 牛人多,35k,20k,27.5,硬件交互设计师,交互设计
昆山市华利来机电安装有限公司,['无特殊要求'],未融资,15-50人,苏州,1k-2k,交互,3-5年,本科,设计师,['设计'],设备画图设计激光下料拆图排版,2k,1k,1.5,网页交互设计师,交互设计
微微科技有限公司,"['外企', '带薪年假', '领导好', '管理规范']",不需要融资,150-500人,厦门,15k-20k,交互,不限,本科,高级交互设计师,"['用户体验', '交互']",实力团队,20k,15k,17.5,无线交互设计师,交互设计
TCL实业控股股份有限公司,"['年底双薪', '带薪年假', '定期体检', '绩效奖金']",上市公司,2000人以上,深圳,15k-30k,交互,3-5年,本科,交互设计师,"['交互', 'UI']",期待有梦想的你加入,30k,15k,22.5,网页交互设计师,交互设计
微梦创科网络科技（中国）有限公司,"['年底双薪', '专项奖金', '股票期权', '五险一金']",上市公司,2000人以上,北京,20k-35k,交互,3-5年,本科,资深交互设计师,"['社交', '移动互联网', '交互', '设计']",公司大 环境好 牛人多,35k,20k,27.5,无线交互设计师,交互设计
实地地产集团有限公司,"['技术大牛', '领导nice', '绩效奖金', '通讯津贴']",不需要融资,500-2000人,北京,15k-30k,交互,3-5年,本科,AR交互设计师,"['可穿戴设备', '智能硬件', '无线交互', '硬件交互', '用户体验']",周末双休，扁平化管理,30k,15k,22.5,无线交互设计师,交互设计
上海叶畅信息科技有限公司,['无特殊要求'],不需要融资,少于15人,海外,10k-15k,交互,3-5年,本科,交互设计师,"['电商', '交互', 'UI', '设计']",五险一金，弹性工作时间,15k,10k,12.5,无线交互设计师,交互设计
百度在线网络技术（北京）有限公司,"['股票期权', '弹性工作', '五险一金', '免费班车']",不需要融资,2000人以上,北京,15k-30k,交互,不限,本科,交互设计师,['交互'],发展前景,30k,15k,22.5,无线交互设计师,交互设计
杭州艾耕科技有限公司,"['股票期权', '扁平管理', '发展前景好', '工程师文化']",A轮,150-500人,杭州,15k-30k,交互,3-5年,本科,交互设计师,"['视频', '直播', '交互', 'UI', '用户体验', '无线交互']",AI技术大牛+工程师文化+扁平化管理,30k,15k,22.5,无线交互设计师,交互设计
上海汽车集团股份有限公司乘用车分公司,"['专项奖金', '绩效奖金', '带薪年假', '定期体检']",上市公司,2000人以上,上海,15k-30k,交互,5-10年,本科,交互设计师,"['汽车', '硬件交互', '界面设计', '交互', '移动交互']",世界500强,30k,15k,22.5,无线交互设计师,交互设计
